access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,street_address,zip,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_pricing,ev_renewable_source,ev_workplace_charging,access_days_time_fr,intersection_directions_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts
24 hours daily,,,2023-12-29,,Public,154788,2020-03-27,,E,,,Delta Rise,888-356-8911,2023-12-29T11:42:06Z,,GPS,49.149127,-122.892097,Delta,,11967 80 Avenue,V4C 0E2,['J1772'],,,2.0,FLO,https://flo.ca/,,,False,,,Public,,['e46d62b7-4631-4ffd-86b6-d05a681cf130'],"['1a589b68-fde3-4b33-8137-6065478af60b', 'a4d7e5ab-dbb4-4d08-bf45-1bd6bbae5b44']"
24 hours daily,,,2023-12-29,,Public,155160,2020-04-03,,E,,,Lions Gate Hospital,888-356-8911,2023-12-29T11:43:06Z,,GPS,49.320944,-123.0671,North Vancouver,,1361 St. Andrews Ave,V7L 3L4,['J1772'],,,1.0,FLO,https://flo.ca/,,,False,,,Public,,['43522774-514d-4b45-a39b-c02550fbc7b6'],['3f033c69-4113-4589-b5d7-751d1ec3e73f']
24 hours daily,,,2023-12-29,,Public,155253,2020-04-08,,E,,,The Glades,888-356-8911,2023-12-29T11:42:52Z,,GPS,49.010455,-122.747399,Surrey,,457 172nd Street,V3S 9R3,['J1772'],,,2.0,FLO,https://flo.ca/,,,False,,,Public,,['64eee48d-be18-4d8f-a669-2c8e4d7f825a'],"['47020fcb-b6fe-4256-abfe-70a13f362229', '625af596-f4e6-49cf-a6fe-1fd6e3f32be4']"
24 hours daily,,A Cash D Debit M V,2022-07-08,,Public,155357,2020-03-01,P,E,False,LD,Petro-Canada,604-850-8951,2023-07-03T13:40:59Z,GAS_STATION,200-9,49.040594,-122.22035,Abbotsford,,2054 Whatcom Rd,V3G 2K8,"['CHADEMO', 'J1772COMBO']",2.0,,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,$0.27 per minute,,False,24 heures par jour,,Public,$0.27 par minute,,
24 hours daily,CREDIT_CARD_ALWAYS,Debit M V,2021-06-07,,Public - Credit card at all times,155362,2020-03-01,P,E,False,,Petro-Canada EV Fast Charger,604-869-7288  800-668-0220,2022-06-03T20:40:05Z,GAS_STATION,200-9,49.375657,-121.428274,Hope,,626 Old Hope Princeton Way,V0X 1L4,"['CHADEMO', 'J1772COMBO']",2.0,,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,$0.27 per minute,,False,24 heures par jour,,Public - Carte de crédit en tout temps,$0.27 par minute,,
24 hours daily; Also accepts Petro Fleet Card,CREDIT_CARD_ALWAYS,A Debit M V,2021-06-07,,Public - Credit card at all times,155363,2020-03-01,P,E,False,,Petro-Canada EV Fast Charger,250-860-5637,2022-06-03T20:40:05Z,GAS_STATION,GPS,49.89506706843802,-119.4136584020996,Kelowna,,2693 Highway 97,V1X 4J6,"['CHADEMO', 'J1772COMBO']",2.0,,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,$0.27 per minute,,False,24 heures par jour; Accepte aussi les cartes de flotte Petro,,Public - Carte de crédit en tout temps,$0.27 par minute,,
24 hours daily,CREDIT_CARD_ALWAYS,A Debit M V,2021-06-07,,Public - Credit card at all times,155364,2020-03-01,P,E,False,,Petro-Canada EV Fast Charger,604-532-8941  800-668-0220,2022-06-03T20:40:05Z,GAS_STATION,200-9,49.133886,-122.669102,Langley,,19971 72 Ave,V2Y 3J2,"['CHADEMO', 'J1772COMBO']",2.0,,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,$0.27 per minute,,False,24 heures par jour,,Public - Carte de crédit en tout temps,$0.27 par minute,,
24 hours daily,CREDIT_CARD_ALWAYS,A Debit M V,2021-06-07,,Public - Credit card at all times,155366,2020-03-01,P,E,False,,Petro-Canada EV Fast Charger,604-988-6959  800-668-0220,2022-06-03T20:40:05Z,GAS_STATION,200-8,49.337194,-123.038452,North Vancouver,,1270 Lynn Valley Rd,V7J 2A3,"['CHADEMO', 'J1772COMBO']",2.0,,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,$0.27 per minute,,False,24 heures par jour,,Public - Carte de crédit en tout temps,$0.27 par minute,,
24 hours daily,,,2021-12-13,,Public,155371,2020-03-01,P,E,False,LD,Petro-Canada,250-832-2744  800-668-0220,2022-06-03T20:40:05Z,GAS_STATION,GPS,50.69869080431333,-119.2957513703613,Salmon Arm,,915 Lakeshore Dr W,V1E 1E4,['J1772'],,,1.0,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,Free,,False,24 heures par jour,,Public,Gratuit,,
24 hours daily,,,2023-12-30,,Public,155434,2020-04-18,,E,,,SURREY MITS CT4K-GW1,888-758-4389,2023-12-30T01:36:49Z,,GPS,49.267834,-123.07767,Vancouver,,1885 Clark Dr,V5N 1G5,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,False,,,Public,,['CACPIL2094521'],"['2495541', '2495551']"
24 hours daily,,,2023-12-29,,Public,155558,2020-04-24,,E,,,City of New Westminster - Queens Park,888-356-8911,2023-12-29T11:43:09Z,,GPS,49.21405,-122.90482,New Westminster,,1 3rd Ave,V3L 0A9,"['CHADEMO', 'J1772COMBO']",2.0,,,FLO,https://flo.ca/,,,False,,,Public,,['4e1000c4-ff60-4b7e-a727-f21e1cb0a46d'],"['4850545e-d4df-42fd-9ab5-e9e831ea1ab9', '7f85ca62-2a46-4e81-a185-45bd79b6a886']"
24 hours daily,,,2023-12-30,,Public,156067,2020-05-05,,E,,,SFU EAST LOT,888-758-4389,2023-12-30T01:36:45Z,,GPS,49.277717,-122.912132,Burnaby,,8911 Cornerstone Mews,V5A 4Y6,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,False,,,Public,,['CACPIL1987321'],"['23102821', '23102831']"
24 hours daily,,,2023-12-29,,Public,156088,2020-05-06,,E,,,Airport Square,888-356-8911,2023-12-29T11:42:49Z,,GPS,49.203944,-123.134583,Vancouver,,1200 W 73th Avenue,V6P 6Z1,['J1772'],,,4.0,FLO,https://flo.ca/,,,False,,,Public,,['12be2677-fd20-4667-b049-a60a466f6403'],"['222ae3c3-b0d3-4f27-bd4b-f20d9e287af1', '75d8a061-66fb-4b81-903f-cf38233ae749', '77411f98-8e67-4f03-84d5-097f7599c7d3', 'f772890f-0117-4d8b-b33d-0c436f9860fa']"
24 hours daily,,,2023-12-29,,Public,156303,2020-05-15,,E,,,City of Delta - South Delta Recreation Centre,888-356-8911,2023-12-29T11:42:00Z,,GPS,49.035926,-123.0662,Delta,,1720 56 St,V4L 2B1,['J1772'],,,2.0,FLO,https://flo.ca/,,,False,,,Public,,['cd443ec8-be4b-4eac-84c4-9b8b43f3f3f4'],"['1ca8c40c-25df-445f-8bf5-f05d6552d2f5', 'aa9f0f0a-c595-4f52-8d72-09aab6562799']"
24 hours daily,,,2023-12-29,,Public,156328,2020-05-16,,E,,,City of Coquitlam - Blue Mountain Park,888-356-8911,2023-12-29T11:40:48Z,,GPS,49.25153,-122.864288,Coquitlam,,957 King Albert Avenue,V3J 1X4,['J1772'],,,4.0,FLO,https://flo.ca/,,,False,,,Public,,['25c15eb8-7d90-4732-b081-19d5372891ab'],"['4b4c3327-5684-4034-baa6-15b9c6bbed4e', '5f26a876-1160-4dfe-a5b7-ad087ae1e9f6', 'c8b05576-4a0c-4dbd-8603-ebab544570c4', 'd12a0a19-73e8-4ae2-8bfb-84ab0cc27dc1']"
24 hours daily,,,2023-12-29,,Public,156329,2020-05-16,,E,,,City of Coquitlam - Poirier Public Library,888-356-8911,2023-12-29T11:42:45Z,,GPS,49.253388,-122.845139,Coquitlam,,575 Poirier Street,V3J 6A9,['J1772'],,,3.0,FLO,https://flo.ca/,,,False,,,Public,,['316738d7-999b-4ccb-a14f-101fdd064017'],"['3655a5d4-d793-4b47-9b0d-0c8860be1787', '73666d91-ba47-4a05-8a6c-d5e399d62b0c', 'b1b50400-7b52-4503-a4b9-8a94a710ba8a']"
24 hours daily,,,2023-12-29,,Public,156330,2020-05-16,,E,,,City of Coquitlam - The Tennis Centre,888-356-8911,2023-12-29T11:40:54Z,,GPS,49.255786,-122.848399,Coquitlam,,1650 Foster Avenue,V3J 7X1,['J1772'],,,2.0,FLO,https://flo.ca/,,,False,,,Public,,['5713f789-129f-435a-9eee-81a62679994d'],"['323f07f7-f47c-457d-9d61-a303770e5ecd', 'b0f3e8a2-dc3f-45a4-a11c-6de39c29a5e5']"
24 hours daily,,,2023-12-29,,Public,156650,2020-05-23,,E,,,French Creek Harbour,888-356-8911,2023-12-29T11:41:48Z,,GPS,49.348445,-124.3587,Parksville,,1055 Lee Road,V9P 2E1,['J1772'],,,1.0,FLO,https://flo.ca/,,,False,,,Public,,['b391ae05-9877-4ed5-a706-388f97b6b465'],['be34f940-f843-4b90-9c56-0888862aa6f4']
24 hours daily,,,2023-04-05,,Public,156686,2020-12-15,P,E,False,LD,BC Hydro - Real Canadian,866-338-3369,2023-04-10T20:30:18Z,GROCERY,GPS,53.887263,-122.769188,Prince George,,2155 Ferry Ave,V2N 5E8,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public,"$0,21 par minute",,
24 hours daily,,A D Debit M V,2023-05-04,,Public,156687,2020-08-11,P,E,False,LD,BC Hydro - Port McNeill,866-338-3369,2023-05-04T17:50:15Z,MUNI_GOV,GPS,50.590488,-127.087951,Port McNeill,,1594 Beach Dr,V0N 2R0,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public,"$0,21 par minute",,
24 hours daily,,,2023-07-12,,Public,156688,2022-03-10,P,E,False,LD,BC Hydro - Sqéwqel Gas Bar and Convenience,866-338-3369,2023-07-12T01:25:01Z,GAS_STATION,GPS,49.27413578671089,-121.7093275280151,Agassiz,,3971 Lougheed Hwy,V0M 1A1,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,Accessible 24 heures par jour,,Public,$0.21 par minute,,
24 hours daily,,,2023-04-05,,Public,156733,2022-03-01,P,E,False,LD,BC Hydro,,2023-04-10T20:30:18Z,SHOPPING_CENTER,GPS,49.232205,-123.155662,Vancouver,,5356 W Blvd,V6M 3V2,"['CHADEMO', 'J1772COMBO']",1.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per hour,,False,24 heures par jour,,Public,"0,21 $ par minute",,
24 hours daily,,A D Debit M V,2023-04-05,,Public,156737,2021-02-18,P,E,False,LD,BC Hydro,866-338-3369,2023-04-10T20:30:18Z,PARKING_LOT,GPS,49.25380733467397,-123.2370852152181,Vancouver,,3335 Webber Ln,V6T 1W5,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per hour,,False,24 heures par jour,,Public,$0.21 par heure,,
24 hours daily,CREDIT_CARD_ALWAYS,A D Debit M V,2023-07-12,,Public - Credit card at all times,156738,2020-06-05,P,E,False,LD,BC Hydro - Fraser Valley Regional District,866-338-3369,2023-07-12T01:25:01Z,MUNI_GOV,GPS,49.166156,-121.95278,Chilliwack,,45950 Cheam Ave,V2P 4R6,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public - Carte de crédit en tout temps,"$0,21 par minute",,
24 hours daily,,,2022-08-09,,Public,156742,2022-01-21,P,E,False,LD,BC Hydro,855-900-7584,2023-04-10T20:30:18Z,PARKING_LOT,GPS,50.264911,-119.271726,Vernon,,3004 32nd Ave,V1T 2L7,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public,"0,21 $ par minute",,
,,A D Debit M V,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156744,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,PARKING_LOT,GPS,50.421023,-121.34882,Spences Bridge,,3633 Station St,V0K 2L0,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
24 hours daily,,,2023-10-12,,Public,156745,2021-10-01,P,E,False,HD,Cullen Western Star Trucks Ltd,604-882-0902,2023-10-12T19:39:16Z,CAR_DEALER,GPS,49.1754588,-122.6953353,Surrey,,9300 192 St,V4N 3R8,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,Free,,False,24 heures par jour,,Public,Gratuit,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156749,,P,P,False,,City of Surrey,,2023-12-13T17:24:19Z,,GPS,49.1949992,-122.7793291,Surrey,,10588 160 St,V4N 0A1,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156753,,P,P,False,,City of Richmond,,2023-12-13T17:24:19Z,MUNI_GOV,GPS,49.1355648,-123.0702107,Richmond,,14300 Entertainment Blvd,V6W 1K3,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2022-04-13,2022-09-01,PLANNED - not yet accessible (Public),156755,,P,P,False,,The Corporation of the City of North Vancouver,,2022-08-12T14:46:36Z,MUNI_GOV,GPS,49.308296,-123.03946,North Vancouver,,1100 3rd St E,V7J 2C1,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156756,,P,P,False,,Township of Langley,604-532-7300,2023-12-13T17:24:19Z,MUNI_GOV,GPS,49.05177,-122.36114,Langley,,4700 - 224 St,V2Z 1N4,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
24 hours daily,,,2021-09-09,,Public,156777,2021-06-15,P,E,False,LD,Northwoods Business Park,888-758-4389,2022-08-12T14:47:48Z,PARKING_LOT,200-9,49.304583,-123.016101,North Vancouver,,2155 Dollarton Hwy,V7H 3B2,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,Accessible 24 heures par jour,,Public,,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156785,,P,P,False,,FortisBC,,2023-12-13T17:24:19Z,GAS_STATION,GPS,49.0770526,-117.8026908,Rossland,,2045 Washington St,V0G 1Y0,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
24 hours daily,,,2021-12-13,,Public,156787,2021-07-29,P,E,False,LD,FortisBC,250-499-2711,2022-07-01T16:05:21Z,MUNI_GOV,GPS,49.20507637,-119.8296399,Keremeos,,702 4th St,V0X 1N3,"['CHADEMO', 'J1772COMBO']",1.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,,,False,Accessible 24 heures par jour,,Public,,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156788,,P,P,False,,FortisBC,,2023-12-13T17:24:19Z,GAS_STATION,GPS,49.4998652,-119.59352,Penticton,,233 Back Street Blvd,V2A 0G4,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156789,,P,P,False,,FortisBC,,2023-12-13T17:24:19Z,GAS_STATION,GPS,49.093995,-116.5148667,Creston,,1015 Cook St,V0B 1G3,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156794,,P,P,False,,FortisBC,,2023-12-13T17:24:19Z,GAS_STATION,GPS,49.5975054,-119.6033243,Naramata,,214 Robinson Ave,V0H 1N0,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),156795,,P,P,False,,FortisBC,,2023-12-13T17:24:19Z,,GPS,49.0905653,-118.6786399,Greenwood,,187 Government Ave S,V0H 1J0,"['CHADEMO', 'J1772COMBO']",1.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
24 hours daily,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157682,,P,P,False,,British Columbia Ministry of Transportation and Infrastructure,,2023-12-13T17:24:19Z,STATE_GOV,GPS,53.8977,-121.9896,Fraser-Fort George F,,Yellowhead Hwy,V2N 7A3,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,,,False,Accessible 24 heures par jour,,PRÉVU - pas encore accessible (Public),,,
24 hours daily,,,2022-04-13,,Public,157683,2021-09-01,P,E,False,LD,Suncor,250-832-2744,2023-03-31T19:57:31Z,GAS_STATION,GPS,50.698696,-119.295697,Salmon Arm,,915 Lakeshore D SW,V1E 1E4,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,,,False,24 heures par jour,,Public,,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157692,,P,P,False,MD,Canadian Tire Corp,,2023-12-13T17:24:19Z,AUTO_REPAIR,GPS,49.49049,-119.60245,Penticton,,960 Railway St,V2A 8N2,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2022-04-13,2022-06-15,PLANNED - not yet accessible (Public),157693,,P,P,False,,Canadian Tire Corp,250-474-2291,2023-03-31T18:12:18Z,AUTO_REPAIR,200-9,48.442075,-123.506011,Victoria,,855 Langford Pkwy,V9B 4V5,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2022-04-13,2022-09-01,PLANNED - not yet accessible (Public),157694,,P,P,False,,Canadian Tire Corp,,2023-04-13T12:29:38Z,AUTO_REPAIR,GPS,49.25966,-123.03106,Vancouver,,2830 Bentall St,V5M 4H4,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157695,,P,P,False,,Canadian Tire Corp,,2023-12-13T17:24:19Z,AUTO_REPAIR,GPS,49.2098584,-123.1097773,Vancouver,,8277 Ontario St,V5X 0A7,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,Free,,False,,,PRÉVU - pas encore accessible (Public),Gratuit,,
Available 24 hours per day,,,2023-09-14,,Public,157696,,P,E,False,,City of Vancouver,888-356-8911,2023-09-14T13:23:27Z,MUNI_GOV,GPS,49.26088,-123.11396,Vancouver,,453 W 12th Ave,V5Y 1V4,['CHADEMO'],2.0,,,Non-Networked,,$2 per hour,,False,Accessible 24 heures par jour,,Public,$2 par heure,,
,,,2023-09-14,2024-09-01,PLANNED - not yet accessible (Public),157697,,P,P,False,,City of Vancouver,,2023-09-14T13:23:27Z,GAS_STATION,GPS,49.272753,-123.087007,Vancouver,,701 National Ave,V6A 4L3,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,18.0,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157698,,P,P,False,,City of Vancouver,,2023-12-13T17:24:19Z,,GPS,49.273594,-123.121627,Vancouver,,1220 Pacific Blvd,V6Z 2W3,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$2 per hour,,False,,,PRÉVU - pas encore accessible (Public),$2 par heure,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157790,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,PARKING_LOT,GPS,53.544769,-131.944337,Tlell,,41395 Highway 16,V0T 1Y0,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
24 hours daily,,A D Debit M V,2023-04-05,,Public,157791,2021-02-18,P,E,False,,BC Hydro,,2023-04-10T20:30:18Z,PARKING_LOT,GPS,54.31645964328817,-130.3225577976227,Prince Rupert,,100 1st Ave E,V8J 1A6,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public,"$0,21 par minute",,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157792,,P,P,False,,BC Hydro,,2023-12-13T17:24:19Z,GAS_STATION,GPS,54.522653,-128.66436,Terrace,,14303 Highway 16,V8G 0A6,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157810,,P,P,False,,BC Ministry of Transportation and Infrastructure,,2023-12-13T17:24:19Z,,GPS,54.512,-128.558,Kitimat-Stikine E,,Lakelse Ave,V8G 3T9,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,1.0,Non-Networked,,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,A D Debit M V,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157833,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,SHOPPING_CENTER,GPS,54.053984,-128.653713,Kitimat,,276 City Centre,V8C 1T6,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
24 hours daily,,,2022-08-09,,Public,157834,2022-03-09,P,E,False,LD,BC Hydro - New Hazelton,800-224-9376,2023-04-10T20:30:18Z,GAS_STATION,GPS,55.246989,-127.581668,New Hazelton,,4633 10th Ave,V0J 2J0,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures tous les jours,,Public,"$0,21 par minute",,
24 hours daily,,,2022-08-09,,Public,157836,2021-02-16,P,E,False,LD,BC Hydro,,2023-10-06T03:16:59Z,PARKING_LOT,GPS,54.40093949617602,-126.6445495092621,Houston,,3487 9th St,V0J 1Z2,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.21 per minute,,False,24 heures par jour,,Public,"$0,21 par minute",,
24 hours daily,,,2023-10-12,,Public,157837,2021-02-18,P,E,False,LD,BC Hydro,866-338-3369,2023-10-12T19:39:16Z,PARKING_LOT,GPS,54.22752169764948,-125.7614795436554,Burns Lake,,299 Yellowhead Highway 16,V0J 1E0,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,$0.2113 (CAD) per minute plus tax,,False,24 heures par jour,,Public,"$0,21 par minute plus la taxe",,
,,A D Debit M V,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157839,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,SHOPPING_CENTER,GPS,54.013778,-124.007833,Vanderhoof,,Ryley Ln,V0J 3A1,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
,,A D Debit M V,2023-04-05,2022-10-01,PLANNED - not yet accessible (Public),157840,,P,P,False,LD,BC Hydro,,2023-10-06T03:22:32Z,GAS_STATION,GPS,54.985014,-123.050098,Mcleod Lake,,1 Carp Lake Rd,V0J 2G0,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157841,,P,P,False,,BC Hydro,,2023-12-13T17:24:19Z,GROCERY,200-9,49.279474,-122.967477,Burnaby,,6564 E Hastings St,V5B 3P9,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,,,False,,,PRÉVU - pas encore accessible (Public),,,
,,A D Debit M V,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157842,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,PARKING_LOT,GPS,50.324285,-122.80536,Pemberton,,7452 Frontier St,V0N 2L1,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
,,A D Debit M V,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157843,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,MUNI_GOV,GPS,50.693991,-121.933631,Lilllooet,,615 Main St,V0K 1V0,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
24 hours daily,,A D Debit M V,2023-04-05,,Public,157844,2021-03-23,P,E,False,LD,BC Hydro,,2023-04-10T20:30:18Z,SHOPPING_CENTER,GPS,48.4280691239774,-123.369591338623,Victoria,,1420 Store St,V8W 3J6,"['CHADEMO', 'J1772COMBO']",2.0,,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,,,False,24 heures par jour,,Public,,,
,,,2023-12-13,2024-12-01,PLANNED - not yet accessible (Public),157845,,P,P,False,LD,BC Hydro,,2023-12-13T17:24:19Z,SHOPPING_CENTER,GPS,49.203911,-122.90707,New Westminister,,515 Columbia St,V3L 1B2,"['CHADEMO', 'J1772COMBO']",2.0,,,Non-Networked,,$.21 per hour,,False,,,PRÉVU - pas encore accessible (Public),$.21 par heure,,
24 hours daily,,,2023-06-12,,Public,157846,2020-05-01,P,E,False,LD,Squamish Liquor Store,604-898-8980,2023-06-12T20:10:10Z,SHOPPING_CENTER,GPS,49.7025196,-123.1532244,Squamish,,38241 Cleveland Ave,V8B 0S8,"['CHADEMO', 'J1772COMBO']",2.0,,,SWTCH,https://swtchenergy.com/,$15 per hour,,False,24 heures par jour,,Public,$15 de l'heure,,
24 hours daily,,,2023-07-01,,Public,157888,2020-05-01,P,E,,,Highstreet Shopping Centre - Tesla Supercharger,877-798-3752,2023-07-14T19:41:28Z,,GPS,49.058774,-122.37941,Abbotsford,,3122 Mount Lehman Rd,V4X 2K9,['TESLA'],12.0,,,Tesla,https://www.tesla.com/supercharger,,,False,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,['11183'],
